prompt,description,inputs,steps,expected_output,platform,domain,feature,aspect,scope
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Khóa tài nguyên (resource key) không được mã hóa cứng và phải tuân thủ cấu hình chuẩn.,Không có,1) Kiểm tra code/config để phát hiện các khóa tài nguyên rồi đối chiếu với file cấu hình hoặc cơ sở dữ liệu,"Không có khóa tài nguyên nào được mã khóa cứng trực tiếp trong code, tất cả đều được tham chiếu qua cấu hình chuẩn.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tên khóa tài nguyên phải tuân thủ quy ước chuẩn.,Không có,"1) Mở file config/source code chứa resource key
2) kiểm tra cách đặt tên so với quy ước","Mọi khóa tài nguyên đều đặt đúng quy tắc chuẩn, không có tên mã khóa cứng sai.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Cú pháp HTML và CSS phải hợp lệ, đúng tiêu chuẩn.",Không có,"1) Chạy công cụ validator cho HTML/CSS
2) quan sát kết quả kiểm tra","Không có lỗi cú pháp. Tất cả tag, attribute, CSS selector hợp chuẩn.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Sự cố ứng dụng hoặc các trang không có sẵn nên được chuyển hướng đến trang lỗi.,Không có,1) Chuyển hướng vào trang lỗi hoặc trang không có sẵn,Bất cứ khi nào một trang web gặp sự cố thì người dùng nên được định hướng lại vào trang có thông báo lỗi tiêu chuẩn. Điều tương tự cũng phải đúng với trang không có sẵn.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra văn bản trên tất cả các trang để biết lỗi chính tả và ngữ pháp.,Không có,1) Truy cập tất cả các trang và load từ đầu đến cuối,Văn bản xuất hiện trong tất cả các trang sẽ không có bất kỳ lỗi chính tả và ngữ pháp.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra các trường đầu vào số với các giá trị đầu vào ký tự.,"price_min=100000, price_max=500000",1) Nhập kí tự vào các trường đầu vào số,Thông báo lỗi thích hợp sẽ được hiển thị.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra tích hợp số âm nếu được phép cho các trường số.,Không có,1) Nhập giá trị âm vào các trường đầu vào số,Nếu số âm được chấp nhận thì nó sẽ chấp nhận và nếu số âm không được chấp nhận thì nó sẽ thông báo lỗi.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra trường có giá trị số thập phân.,"price_min=100000, price_max=500000",1) Nhập và xem các trường có giá trị thập phân,Các vị trí cho các trường có giá trị thập phân phải được hiển thị chính xác phần số trước và sau dấu phẩy.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra chức năng của các nút có sẵn trên tất cả các trang.,Không có,1) Sử dụng các nút trên trang,"Tất cả các nút trong mỗi trang hoạt động như mong đợi, các chức năng theo tiêu chuẩn hoặc tài liệu cơ sở đã thỏa thuận.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Người dùng không thể gửi trang hai lần bằng cách nhấn nút gửi liên tiếp.,Không có,1) Nhấn liên tục vào nút gửi,Việc gửi trang chỉ thực hiện một lần (có thể disabled nút gửi),cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra lỗi chia cho 0 khi thực hiện phép tính.,Không có,1) Thực hiện bất kì tính toán nào với giá trị số chia là 0,"Thông báo lỗi, yêu cầu thử lại với giá trị khác.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Dữ liệu đầu vào với chỗ trống vị trí đầu tiên và cuối cùng nên được xử lý chính xác.,Không có,1) Nhập vào các trường đầu vào khoảng trống ở vị trí đầu tiên và cuối cùng,Thông báo lỗi hoặc kích hoạt chế độ tự chỉnh sửa theo thỏa thuận.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Kiểm tra cách hiển thị các trường trên 1 trang như hộp văn bản, tùy chọn radio, danh sách thả xuống,…",Không có,1) Lướt xem tất cả các trường trên tất cả trang,Tất cả các trường trên một trang nên được căn chỉnh đúng cách.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Các trường số cần được kiểm chứng tính hợp lệ.,Không có,"1) Nhập giá trị số vào trường số
2) quan sát kiểm tra hệ thống","Chỉ chấp nhận giá trị số hợp lệ theo tiêu chuẩn, dữ liệu sai bị từ chối với thông báo lỗi rõ ràng.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Khoảng cách giữa các thành phần UI phải hợp lí để dễ đọc.,Không có,"1) Mở trang giao diện quan sát khoảng cách giữa nhãn trường
2) input
3) thông báo lỗi","Khoảng cách giữa các phần tử rõ ràng, không bị dính hoặc chồng lấn.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Thanh cuộn chỉ được bật khi cần thiết.,Không có,1) Kiểm tra trường hợp khi ít đối tượng hiển thị trên trang và khi vượt qua chiều dài/chiều rộng của trang,Thanh cuộn chỉ được bật khi vượt quá chiều dài/chiều rộng của trang.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Kiểm tra tiêu đề, văn bản mô tả, nhãn, dữ liệu nội bộ và thông tin lưới,...",Không có,1) Lướt xem tất cả giao diện các trang,"Kích thước phông chữ, kiểu và màu cho tiêu đề, văn bản mô tả, nhãn, dữ liệu nội bộ và thông tin lưới,... phải là tiêu chuẩn như được chỉ định trong thỏa thuận.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Hộp văn bản mô tả phải nhập được nhiều dòng.,Không có,"1) Nhập nhiều dòng văn bản vào hộp mô tả
2) quan sát hiển thị","Hộp mô tả cho phép nhập nhiều dòng, xuống dòng đúng chuẩn.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Select box chỉ cho phép chọn.,Không có,1) Mở select box thử nhập text trực tiếp,"Không cho phép nhập tự do, chỉ được chọn giá trị từ danh sách.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Thông tin được điền bởi người dùng sẽ vẫn còn nguyên khi có thông báo lỗi trên trang.,Không có,1) Nhập sai thông tin quy định các trường rồi gửi biểu mẫu dẫn đến lỗi,"Thông báo lỗi, các giá trị đầu vào hợp lệ sẽ được giữ lại, người dùng có thể gửi biểu mẫu sau khi sửa các lỗi.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Thông báo lỗi phải nhắc đúng nhãn trường gây lỗi.,Không có,"1) Nhập dữ liệu sai vào một trường
2) quan sát thông báo lỗi hiện ra","Thông báo lỗi hiển thị chính xác tên trường liên quan, không chung chung.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra xem các tùy chọn danh sách thả xuống có thể đọc được và không bị cắt ngắn do giới hạn kích thước trường.,Không có,1) Bấm xem danh sách nội dung thả xuống của select box,Các tùy chọn danh sách thả xuống có thể đọc được. Nếu các tùy chọn dài hơn thì thông thường thì nên đặt định dạng thích hợp nhưng các tùy chọn này không nên bị cắt.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Ngoài các hành động của chuột, tất cả các trường/nút trên một trang phải được truy cập bằng các phím tắt hay tab.",Không có,"1) Sử dụng các phím tắt hay tab để di chuyển
2) sử dụng các nút trên trang",Bất cứ chức năng nào có thể được thực hiện bởi chuột cũng có thể truy cập được bàn phím.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tất cả hình ảnh phải hiển thị nguyên vẹn.,Không có,"1) Mở từng trang trong ứng dụng
2) quan sát tất cả hình ảnh và biểu tượng","Tất cả hình ảnh hiển thị chính xác, không có hình ảnh nào bị lỗi hoặc bể vỡ.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tất cả liên kết phải hoạt động bình thường.,Không có,"1) Nhấn vào từng liên kết trên trang
2) kiểm tra kết quả điều hướng","Mọi liên kết dẫn đến đúng trang hoặc tài nguyên hợp lệ, không có liên kết nào bị hỏng.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Trang phải có tiêu đề chuẩn.,Không có,"1) Mở mỗi trang
2) quan sát phần tiêu đề hiển thị",Mỗi trang đều có tiêu đề hiển thị rõ ràng và chính xác.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Hành động quan trọng phải có thông báo xác nhận.,Không có,"1) Thực hiện cập nhật hoặc xóa một bản ghi
2) quan sát thông báo xác nhận",Thông báo xác nhận hiển thị rõ ràng trước khi hệ thống thực hiện hành động.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng; ưu tiên hiệu năng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Khi hệ thống xử lý, cần có chỉ báo trạng thái loading.",Không có,1) Thực hiện thao tác tốn thời gian như tải trang hoặc xử lý dữ liệu,Biểu tượng đồng hồ cát hoặc trạng thái tải được hiển thị trong suốt quá trình xử lý.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Nội dung văn bản phải hiển thị rõ ràng.,Không có,"1) Mở các trang giao diện
2) quan sát toàn bộ văn bản","Văn bản trên trang hiển thị đầy đủ, không bị cắt xén hoặc lỗi font.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Radio button chỉ cho phép chọn một.,Không có,"1) Nhấn chọn một tùy chọn radio
2) thử chọn thêm radio khác","Chỉ một tùy chọn radio được chọn tại một thời điểm, không thể chọn nhiều radio cùng lúc.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho lọc - chức năng (tổng quát) [cả hai],Chức năng lọc phải áp dụng tất cả điều kiện.,Không có,"1) Chọn nhiều tham số lọc
2) nhấn tìm kiếm hoặc áp dụng","Kết quả hiển thị chính xác theo tất cả tham số đã chọn, không bị thiếu hoặc dư.",cả hai,tổng quát,lọc,chức năng,dùng chung
Web/app; vai trò Người dùng; tìm kiếm; phân trang & bộ lọc (nếu có) - Tạo test case cho lọc - chức năng (tổng quát) [cả hai],Tìm kiếm kết hợp lọc phải áp dụng đúng điều kiện.,"query='áo thun', query_không_tồn_tại='xyz123'","1) Nhập từ khóa tìm kiếm
2) chọn tham số lọc
3) nhấn tìm",Trang tìm kiếm hiển thị kết quả đúng theo từ khóa và tham số đã chọn.,cả hai,tổng quát,lọc,chức năng,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho lọc - chức năng (tổng quát) [cả hai],Tiêu chí bắt buộc phải được kiểm tra.,Không có,"1) Mở trang có bộ lọc
2) Để trống tất cả tiêu chí bắt buộc
3) Nhấn nút Tìm kiếm/Lọc
4) Quan sát phản hồi UI.",Không gửi được truy vấn khi thiếu tiêu chí bắt buộc; hiển thị thông báo lỗi rõ ràng tại trường liên quan hoặc ở đầu form; không thay đổi dữ liệu danh sách.,cả hai,tổng quát,lọc,chức năng,dùng chung
Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; bộ lọc hỗ trợ tiêu chí bắt buộc/không bắt buộc; giữ nguyên danh sách khi dữ liệu không hợp lệ - Tạo test case cho lọc - chức năng (tổng quát) [cả hai],"Khi bỏ trống tiêu chí bộ lọc không bắt buộc, người dùng vẫn có thể thực hiện tìm kiếm.","tiêu_chí_không_bắt_buộc=""""","1) Bỏ qua tiêu chí không bắt buộc
2) nhấn tìm kiếm
3) Đối chiếu với kỳ vọng",Hệ thống vẫn thực hiện tìm kiếm và trả về kết quả hợp lệ theo các tiêu chí còn lại hoặc mặc định.,cả hai,tổng quát,lọc,chức năng,dùng chung
Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; bộ lọc hỗ trợ tiêu chí bắt buộc/không bắt buộc; giữ nguyên danh sách khi dữ liệu không hợp lệ - Tạo test case cho lọc - chức năng (tổng quát) [cả hai],Thông báo xác thực thích hợp phải được hiển thị cho tất cả các giá trị không hợp lệ cho các tiêu chí bộ lọc,"giá_tối_thiểu=""abc""","1) Nhập giá trị không hợp lệ vào các tiêu chí lọc
2) quan sát thông báo xác thực hiển thị
3) Đối chiếu với kỳ vọng",Thông báo xác thực hiển thị rõ ràng khi có giá trị không hợp lệ,cả hai,tổng quát,lọc,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Biểu tượng tải trang phải được hiển thị khi có mất nhiều thời gian mặc định để tải trang kết quả,Không có,"1) Thực hiện tìm kiếm với dữ liệu lớn hoặc nhiều bộ lọc
2) quan sát quá trình tải
3) Đối chiếu với kỳ vọng",Biểu tượng tải trang hiển thị trong khi hệ thống xử lý dữ liệu,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Kiểm tra xem tất cả các tham số tìm kiếm được sử dụng để tìm nạp dữ liệu được hiển thị trên lưới kết quả,Không có,"1) Thực hiện tìm kiếm với nhiều tham số
2) quan sát các cột trong lưới
3) Đối chiếu với kỳ vọng",Lưới kết quả hiển thị đúng các cột theo tham số tìm kiếm đã chọn,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Tổng số kết quả sẽ được hiển thị trong lưới kết quả,Không có,"1) Thực hiện tìm kiếm
2) quan sát tổng số kết quả được hiển thị
3) Đối chiếu với kỳ vọng",Tổng số bản ghi kết quả hiển thị chính xác,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Tiêu chí tìm kiếm được sử dụng để tìm kiếm nên được hiển thị trong lưới kết quả,Không có,"1) Thực hiện tìm kiếm
2) quan sát cột tiêu chí trong lưới
3) Đối chiếu với kỳ vọng",Tiêu chí tìm kiếm hiển thị rõ ràng trong lưới kết quả,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Giá trị lưới kết quả phải được sắp xếp theo cột mặc định,Không có,"1) Mở lưới kết quả
2) quan sát thứ tự sắp xếp mặc định
3) Đối chiếu với kỳ vọng",Lưới kết quả được sắp xếp theo cột mặc định đúng thiết kế,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Các cột được sắp xếp phải được hiển thị với biểu tượng sắp xếp,Không có,"1) Nhấn sắp xếp trên cột bất kỳ
2) quan sát biểu tượng
3) Đối chiếu với kỳ vọng",Biểu tượng sắp xếp hiển thị đúng chiều tăng hoặc giảm,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
"Ứng dụng Web/App; vai trò Người dùng; môi trường Chrome/Edge; hộp tìm kiếm có spinner tải, đếm kết quả, và áp dụng tham số truy vấn - Tạo test case cho tìm kiếm - chức năng (tổng quát) [cả hai]",Lưới kết quả phải bao gồm tất cả các cột được chỉ định với các giá trị chính xác,Không có,"1) Thực hiện tìm kiếm
2) quan sát toàn bộ cột hiển thị
3) Đối chiếu với kỳ vọng",Tất cả các cột yêu cầu đều hiển thị đúng dữ liệu,cả hai,tổng quát,tìm kiếm,chức năng,dùng chung
