prompt,variant_1,variant_2
Tạo test case cho Ngân hàng - Quản lý tài khoản,"Viết kịch bản kiểm thử cho Ngân hàng - Quản lý tài khoản: cập nhật số dư tức thời, xử lý lỗi và khôi phục.","Những ca kiểm thử nào đảm bảo Ngân hàng - Quản lý tài khoản hoạt động ổn định và đúng kỳ vọng, bao phủ cập nhật số dư tức thời, xử lý lỗi và khôi phục?"
Tạo test case cho Ngân hàng - Xử lý giao dịch,"Soạn kịch bản kiểm thử cho Ngân hàng - Xử lý giao dịch: độ chính xác sao kê, cập nhật số dư tức thời.","Những ca kiểm thử nào đảm bảo Ngân hàng - Xử lý giao dịch hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác sao kê, cập nhật số dư tức thời?"
Tạo test case cho Ngân hàng - Bảo mật,"Viết kịch bản kiểm thử cho Ngân hàng - Bảo mật: độ chính xác sao kê, cập nhật số dư tức thời, bảo vệ dữ liệu nhạy cảm.","Những ca kiểm thử nào đảm bảo Ngân hàng - Bảo mật hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác sao kê, cập nhật số dư tức thời?"
Tạo test case cho Ngân hàng - Phản hồi/Mobile,"Lập kịch bản kiểm thử cho Ngân hàng - Phản hồi và Mobile: ghi log và truy vết giao dịch, độ chính xác sao kê.","Những ca kiểm thử nào đảm bảo Ngân hàng - Phản hồi và Mobile hoạt động ổn định và đúng kỳ vọng, bao phủ ghi log và truy vết giao dịch, độ chính xác sao kê?"
Tạo test case cho Ngân hàng - Đa nền tảng,"Đề xuất kịch bản kiểm thử cho Ngân hàng - Đa nền tảng: độ chính xác sao kê, cập nhật số dư tức thời.","Những ca kiểm thử nào đảm bảo Ngân hàng - Đa nền tảng hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác sao kê, cập nhật số dư tức thời?"
Tạo test case cho Thương mại điện tử - Chức năng,"Lập kịch bản kiểm thử cho Thương mại điện tử - Chức năng: tồn kho và giá khuyến mãi, hoàn tiền và cập nhật trạng thái đơn, kịch bản chính.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ tồn kho và giá khuyến mãi, hoàn tiền và cập nhật trạng thái đơn?"
Tạo test case cho Thương mại điện tử - Đăng nhập,"Thiết kế kịch bản kiểm thử cho Thương mại điện tử - Đăng nhập: tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Đăng nhập hoạt động ổn định và đúng kỳ vọng, bao phủ tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá?"
Tạo test case cho Thương mại điện tử - Đăng ký,"Viết kịch bản kiểm thử cho Thương mại điện tử - Đăng ký: tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Đăng ký hoạt động ổn định và đúng kỳ vọng, bao phủ tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá?"
Tạo test case cho Thương mại điện tử - Tìm kiếm,"Viết kịch bản kiểm thử cho Thương mại điện tử - Tìm kiếm: tồn kho và giá khuyến mãi, hoàn tiền và cập nhật trạng thái đơn.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Tìm kiếm hoạt động ổn định và đúng kỳ vọng, bao phủ tồn kho và giá khuyến mãi, hoàn tiền và cập nhật trạng thái đơn?"
Tạo test case cho Thương mại điện tử - Danh mục & Sản phẩm,"Soạn kịch bản kiểm thử cho Thương mại điện tử - Danh mục & Sản phẩm: tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Danh mục & Sản phẩm hoạt động ổn định và đúng kỳ vọng, bao phủ tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá?"
Tạo test case cho Thương mại điện tử - Giỏ hàng,"Viết kịch bản kiểm thử cho Thương mại điện tử - Giỏ hàng: hoàn tiền và cập nhật trạng thái đơn, tính phí vận chuyển và thuế.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Giỏ hàng hoạt động ổn định và đúng kỳ vọng, bao phủ hoàn tiền và cập nhật trạng thái đơn, tính phí vận chuyển và thuế?"
Tạo test case cho Thương mại điện tử - Thanh toán,"Đề xuất kịch bản kiểm thử cho Thương mại điện tử - Thanh toán: tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Thanh toán hoạt động ổn định và đúng kỳ vọng, bao phủ tính phí vận chuyển và thuế, giỏ hàng và mã giảm giá?"
Tạo test case cho Thương mại điện tử - Vận chuyển & Giao hàng,"Soạn kịch bản kiểm thử cho Thương mại điện tử - Vận chuyển & Giao hàng: hoàn tiền và cập nhật trạng thái đơn, tính phí vận chuyển và thuế.","Những ca kiểm thử nào đảm bảo Thương mại điện tử - Vận chuyển & Giao hàng hoạt động ổn định và đúng kỳ vọng, bao phủ hoàn tiền và cập nhật trạng thái đơn, tính phí vận chuyển và thuế?"
Tạo test case cho Ngân hàng - Yêu cầu dịch vụ,"Thiết kế kịch bản kiểm thử cho Ngân hàng - Yêu cầu dịch vụ: cập nhật số dư tức thời, xử lý lỗi và khôi phục.","Những ca kiểm thử nào đảm bảo Ngân hàng - Yêu cầu dịch vụ hoạt động ổn định và đúng kỳ vọng, bao phủ cập nhật số dư tức thời, xử lý lỗi và khôi phục?"
Tạo test case cho Ngân hàng - Người thụ hưởng,"Viết kịch bản kiểm thử cho Ngân hàng - Người thụ hưởng: xử lý lỗi và khôi phục, ghi log và truy vết giao dịch.","Những ca kiểm thử nào đảm bảo Ngân hàng - Người thụ hưởng hoạt động ổn định và đúng kỳ vọng, bao phủ xử lý lỗi và khôi phục, ghi log và truy vết giao dịch?"
Tạo test case cho Ngân hàng - Quyền quản trị,"Đề xuất kịch bản kiểm thử cho Ngân hàng - Quyền quản trị: xử lý lỗi và khôi phục, ghi log và truy vết giao dịch.","Những ca kiểm thử nào đảm bảo Ngân hàng - Quyền quản trị hoạt động ổn định và đúng kỳ vọng, bao phủ xử lý lỗi và khôi phục, ghi log và truy vết giao dịch?"
Tạo test case cho Ngân hàng - Chi nhánh mới,"Soạn kịch bản kiểm thử cho Ngân hàng - Chi nhánh mới: xử lý lỗi và khôi phục, ghi log và truy vết giao dịch.","Những ca kiểm thử nào đảm bảo Ngân hàng - Chi nhánh mới hoạt động ổn định và đúng kỳ vọng, bao phủ xử lý lỗi và khôi phục, ghi log và truy vết giao dịch?"
Tạo test case cho Ngân hàng - Chuyển tiền,"Lập kịch bản kiểm thử cho Ngân hàng - Chuyển tiền: xử lý lỗi và khôi phục, ghi log và truy vết giao dịch.","Những ca kiểm thử nào đảm bảo Ngân hàng - Chuyển tiền hoạt động ổn định và đúng kỳ vọng, bao phủ xử lý lỗi và khôi phục, ghi log và truy vết giao dịch?"
Tạo test case cho Đăng xuất - Chức năng,"Đề xuất kịch bản kiểm thử cho Đăng xuất - Chức năng: vô hiệu hóa phiên, xóa cookie nhạy cảm, kịch bản chính.","Những ca kiểm thử nào đảm bảo Đăng xuất - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ vô hiệu hóa phiên, xóa cookie nhạy cảm?"
Tạo test case cho Đăng xuất - Bảo mật,"Viết kịch bản kiểm thử cho Đăng xuất - Bảo mật: vô hiệu hóa phiên, xóa cookie nhạy cảm, bảo vệ dữ liệu nhạy cảm.","Những ca kiểm thử nào đảm bảo Đăng xuất - Bảo mật hoạt động ổn định và đúng kỳ vọng, bao phủ vô hiệu hóa phiên, xóa cookie nhạy cảm?"
Tạo test case cho Đăng xuất - Trải nghiệm người dùng,"Thiết kế kịch bản kiểm thử cho Đăng xuất - Trải nghiệm người dùng: chặn quay lại bằng bộ nhớ cache, vô hiệu hóa phiên, trạng thái rỗng.","Những ca kiểm thử nào đảm bảo Đăng xuất - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ chặn quay lại bằng bộ nhớ cache, vô hiệu hóa phiên?"
Tạo test case cho Đăng xuất - HTTPS,"Viết kịch bản kiểm thử cho Đăng xuất - HTTPS: vô hiệu hóa phiên, xóa cookie nhạy cảm, HSTS.","Những ca kiểm thử nào đảm bảo Đăng xuất - HTTPS hoạt động ổn định và đúng kỳ vọng, bao phủ vô hiệu hóa phiên, xóa cookie nhạy cảm?"
Tạo test case cho Đăng xuất - Phản hồi/Mobile,"Thiết kế kịch bản kiểm thử cho Đăng xuất - Phản hồi và Mobile: xóa cookie nhạy cảm, chuyển hướng an toàn qua HTTPS.","Những ca kiểm thử nào đảm bảo Đăng xuất - Phản hồi và Mobile hoạt động ổn định và đúng kỳ vọng, bao phủ xóa cookie nhạy cảm, chuyển hướng an toàn qua HTTPS?"
Tạo test case cho Máy tính - Chức năng,"Thiết kế kịch bản kiểm thử cho Máy tính - Chức năng: hiển thị và định dạng kết quả, thứ tự phép toán, kịch bản chính.","Những ca kiểm thử nào đảm bảo Máy tính - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ hiển thị và định dạng kết quả, thứ tự phép toán?"
Tạo test case cho Máy tính - Giá trị biên,"Đề xuất kịch bản kiểm thử cho Máy tính - Giá trị biên: độ chính xác phép tính, hiển thị và định dạng kết quả.","Những ca kiểm thử nào đảm bảo Máy tính - Giá trị biên hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác phép tính, hiển thị và định dạng kết quả?"
Tạo test case cho Máy tính - Khoa học nâng cao,"Thiết kế kịch bản kiểm thử cho Máy tính - Khoa học nâng cao: hiển thị và định dạng kết quả, thứ tự phép toán.","Những ca kiểm thử nào đảm bảo Máy tính - Khoa học nâng cao hoạt động ổn định và đúng kỳ vọng, bao phủ hiển thị và định dạng kết quả, thứ tự phép toán?"
Tạo test case cho Máy tính - Ứng dụng phần mềm,"Đề xuất kịch bản kiểm thử cho Máy tính - Ứng dụng phần mềm: độ chính xác phép tính, hiển thị và định dạng kết quả.","Những ca kiểm thử nào đảm bảo Máy tính - Ứng dụng phần mềm hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác phép tính, hiển thị và định dạng kết quả?"
Tạo test case cho Máy tính - Trải nghiệm người dùng,"Thiết kế kịch bản kiểm thử cho Máy tính - Trải nghiệm người dùng: giá trị biên và tràn số, độ chính xác phép tính, khả năng tìm thấy chức năng.","Những ca kiểm thử nào đảm bảo Máy tính - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ giá trị biên và tràn số, độ chính xác phép tính?"
Tạo test case cho Máy tính - Giao diện thiết bị,"Viết kịch bản kiểm thử cho Máy tính - Giao diện thiết bị: giá trị biên và tràn số, độ chính xác phép tính.","Những ca kiểm thử nào đảm bảo Máy tính - Giao diện thiết bị hoạt động ổn định và đúng kỳ vọng, bao phủ giá trị biên và tràn số, độ chính xác phép tính?"
Tạo test case cho Máy tính - Lỗi & BODMAS,"Viết kịch bản kiểm thử cho Máy tính - Lỗi & BODMAS: độ chính xác phép tính, hiển thị và định dạng kết quả.","Những ca kiểm thử nào đảm bảo Máy tính - Lỗi & BODMAS hoạt động ổn định và đúng kỳ vọng, bao phủ độ chính xác phép tính, hiển thị và định dạng kết quả?"
Tạo test case cho Quản lý kho - Chức năng,"Soạn kịch bản kiểm thử cho Quản lý kho - Chức năng: nhập xuất tồn, báo cáo tồn kho, trạng thái lỗi.","Những ca kiểm thử nào đảm bảo Quản lý kho - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ nhập xuất tồn, báo cáo tồn kho?"
Tạo test case cho Salesforce - Toàn vẹn dữ liệu - Nhập/Xuất,"Thiết kế kịch bản kiểm thử cho Salesforce - Toàn vẹn dữ liệu - Nhập và Xuất: kiểm tra validation rule, nhập/xuất dữ liệu an toàn.","Những ca kiểm thử nào đảm bảo Salesforce - Toàn vẹn dữ liệu - Nhập và Xuất hoạt động ổn định và đúng kỳ vọng, bao phủ kiểm tra validation rule, nhập/xuất dữ liệu an toàn?"
Tạo test case cho Toàn vẹn dữ liệu - Tính nhất quán trường,"Thiết kế kịch bản kiểm thử cho Toàn vẹn dữ liệu - Tính nhất quán trường: quy tắc xác thực, tính nhất quán trường.","Những ca kiểm thử nào đảm bảo Toàn vẹn dữ liệu - Tính nhất quán trường hoạt động ổn định và đúng kỳ vọng, bao phủ quy tắc xác thực, tính nhất quán trường?"
Tạo test case cho Toàn vẹn dữ liệu - Quy tắc xác thực,"Thiết kế kịch bản kiểm thử cho Toàn vẹn dữ liệu - Quy tắc xác thực: tính nhất quán trường, tham chiếu ngoại và ràng buộc.","Những ca kiểm thử nào đảm bảo Toàn vẹn dữ liệu - Quy tắc xác thực hoạt động ổn định và đúng kỳ vọng, bao phủ tính nhất quán trường, tham chiếu ngoại và ràng buộc?"
Tạo test case cho Toàn vẹn dữ liệu - Sau nâng cấp,"Đề xuất kịch bản kiểm thử cho Toàn vẹn dữ liệu - Sau nâng cấp: tham chiếu ngoại và ràng buộc, sau nâng cấp.","Những ca kiểm thử nào đảm bảo Toàn vẹn dữ liệu - Sau nâng cấp hoạt động ổn định và đúng kỳ vọng, bao phủ tham chiếu ngoại và ràng buộc, sau nâng cấp?"
